DONOSTIA;
2025;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae;TOTAL;Alternaria;
1   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;
2   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;2;0;
3   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
4   Ene.;;0;0;0;0;0;;0;0;;0;;0;6;2;;0;;0;0;0;;0;;;0;1;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2;12;0;
5   Ene.;;0;0;0;0;0;;0;0;;0;;0;2;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;5;2;
6   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;
7   Ene.;;0;0;1;0;0;;0;0;;0;;0;9;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;14;0;
8   Ene.;;0;0;1;0;0;;0;0;;0;;0;17;10;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;31;0;
9   Ene.;;0;0;1;0;0;;0;0;;0;;0;2;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4;0;
10 Ene.;;0;0;0;0;0;;0;0;;0;;0;16;5;;0;;0;0;2;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;24;0;
11 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
12 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;3;0;0;0;0;0;;0;0;;0;0;0;4;0;
13 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;
14 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;
15 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
16 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
17 Ene.;;0;0;0;0;0;;0;0;;0;;0;4;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5;0;
18 Ene.;;0;0;0;0;0;;0;0;;0;;0;2;2;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4;0;
19 Ene.;;0;0;0;0;0;;0;0;;0;;0;25;9;;0;;0;0;1;;0;;;0;0;1;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;36;0;
20 Ene.;;0;0;0;0;0;;0;0;;0;;0;5;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;8;0;
21 Ene.;;0;0;0;0;0;;0;0;;0;;0;23;21;;0;;0;0;3;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;48;0;
22 Ene.;;0;0;0;0;0;;0;0;;0;;0;14;7;;0;;0;0;3;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;24;0;
23 Ene.;;0;0;1;0;0;;0;0;;0;;0;16;4;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;23;0;
24 Ene.;;0;0;5;0;0;;0;0;;0;;0;32;40;;0;;0;0;2;;0;;;0;0;0;;4;0;;0;0;0;2;0;0;0;0;0;;0;0;;0;0;3;88;0;
25 Ene.;;0;0;1;0;0;;0;0;;0;;0;8;2;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;14;0;
26 Ene.;;0;0;3;0;0;;0;0;;0;;0;21;9;;0;;0;0;1;;0;;;0;0;0;;3;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;1;39;0;
27 Ene.;;0;0;2;0;0;;0;0;;0;;0;11;13;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;1;0;1;0;0;0;0;0;;0;0;;0;0;0;29;0;
28 Ene.;;0;0;1;0;0;;0;0;;0;;0;8;1;;0;;0;1;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;11;0;
29 Ene.;;0;0;2;0;0;;0;0;;0;;0;8;2;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;13;0;
30 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
31 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;
1    Feb.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
2   Feb.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;
3   Feb.;;0;0;1;0;0;;0;0;;0;;0;4;0;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6;0;
4   Feb.;;0;0;1;0;0;;0;0;;0;;0;2;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6;0;
5   Feb.;;0;0;4;0;0;;0;0;;0;;0;8;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;12;0;
6   Feb.;;0;0;8;0;0;;0;0;;0;;0;11;5;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;24;0;
7   Feb.;;0;0;5;0;0;;0;0;;0;;0;21;10;;0;;0;0;0;;0;;;0;0;0;;1;0;;5;0;0;0;0;0;0;0;0;;0;0;;0;0;0;42;0;
8   Feb.;;0;0;3;0;0;;0;0;;0;;0;7;1;;0;;0;0;2;;0;;;0;0;0;;0;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;1;16;0;
9   Feb.;;0;0;7;0;0;;0;0;;0;;0;17;4;;0;;0;0;1;;0;;;0;0;0;;0;0;;5;0;1;1;0;0;0;0;0;;0;0;;0;0;1;37;0;
10 Feb.;;0;0;30;0;0;;0;0;;0;;0;62;103;;0;;0;0;1;;0;;;0;0;0;;2;0;;9;0;0;1;0;0;0;0;1;;0;0;;0;0;1;210;0;
11 Feb.;;0;0;26;0;0;;0;0;;0;;0;43;178;;0;;0;0;3;;0;;;0;0;0;;1;0;;16;0;0;1;0;0;0;0;3;;0;0;;1;0;4;276;0;
12 Feb.;;0;0;1;0;0;;0;0;;0;;0;0;2;;0;;0;0;0;;0;;;0;0;0;;0;0;;9;0;0;0;0;0;0;0;0;;0;0;;0;0;0;12;0;
13 Feb.;;0;0;4;0;0;;0;0;;0;;0;4;6;;0;;0;0;1;;0;;;0;0;0;;0;0;;10;0;0;0;0;0;0;0;6;;0;0;;0;0;1;32;0;
14 Feb.;;0;0;125;0;0;;0;0;;0;;0;27;5;;0;;0;0;0;;0;;;0;0;0;;0;0;;3;0;0;2;0;0;0;0;2;;0;0;;0;0;0;164;0;
15 Feb.;;0;0;113;0;0;;0;0;;0;;0;106;229;;0;;0;0;5;;0;;;0;0;1;;17;0;;86;0;0;7;0;0;0;0;3;;0;0;;2;0;3;572;0;
16 Feb.;;0;0;13;0;0;;0;0;;0;;0;12;7;;0;;0;0;5;;0;;;0;0;0;;0;0;;25;1;0;2;0;0;0;0;8;;0;0;;0;0;1;74;0;
17 Feb.;;0;0;123;0;0;;0;0;;0;;0;70;61;;0;;0;0;2;;0;;;0;0;0;;4;0;;43;0;0;1;1;0;0;0;4;;0;0;;1;0;0;310;0;
18 Feb.;;0;0;149;0;0;;0;0;;0;;0;71;207;;0;;0;0;9;;0;;;0;0;0;;2;0;;23;1;0;3;4;0;0;0;31;;0;0;;6;0;5;511;0;
19 Feb.;;0;0;41;0;0;;0;0;;0;;0;28;16;;0;;0;0;7;;0;;;0;0;0;;0;0;;29;1;0;0;0;0;0;0;14;;0;0;;1;0;9;146;0;
20 Feb.;;0;0;205;0;0;;0;0;;0;;0;77;76;;0;;0;0;20;;0;;;0;0;0;;0;0;;167;0;0;0;5;0;0;0;43;;0;0;;1;0;1;595;0;
21 Feb.;;0;0;75;0;0;;0;0;;0;;1;22;69;;0;;0;0;19;;0;;;0;1;0;;0;0;;8;0;0;2;1;3;0;0;30;;0;0;;2;0;5;238;0;
22 Feb.;;0;0;1;0;0;;0;0;;0;;0;1;2;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;2;;0;0;;0;0;0;6;0;
23 Feb.;;0;0;113;0;0;;0;0;;0;;0;35;37;;0;;0;0;24;;0;;;0;0;0;;18;0;;35;1;11;1;2;4;0;0;46;;0;0;;1;0;4;332;0;
24 Feb.;;0;0;63;0;0;;0;0;;0;;0;23;18;;0;;0;1;20;;0;;;0;0;0;;11;0;;43;0;0;5;1;0;0;0;28;;0;0;;0;0;1;214;0;
25 Feb.;;0;0;2;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;
26 Feb.;;0;0;7;0;0;;0;0;;0;;0;0;0;;0;;0;0;5;;0;;;0;0;0;;0;0;;9;0;0;0;0;0;0;0;1;;0;0;;0;0;0;22;0;
27 Feb.;;0;0;80;0;0;;0;0;;0;;0;4;0;;0;;0;0;29;;0;;;0;1;0;;7;0;;1;0;0;17;0;1;0;0;11;;0;0;;0;0;0;151;0;
