BILBAO;
2020;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae;TOTAL;Alternaria;
29 Ene.;;0;0;23;0;0;;0;0;;0;;0;46;14;;0;;1;0;2;;0;;;0;1;0;;0;0;;299;0;0;0;0;0;0;0;1;;0;0;;0;0;0;387;0;
30 Ene.;;0;0;44;0;0;;0;0;;0;;0;56;24;;0;;0;0;6;;0;;;0;0;0;;1;0;;485;0;0;0;0;0;0;0;1;;0;0;;0;0;2;619;0;
31 Ene.;;0;0;46;0;0;;0;0;;0;;0;82;27;;0;;1;0;6;;0;;;0;0;0;;0;0;;684;0;0;0;0;0;0;0;2;;0;0;;0;0;4;852;0;
1    Feb.;;0;0;80;0;0;;0;0;;0;;0;66;100;;0;;1;0;13;;0;;;0;1;0;;0;0;;702;0;0;7;0;0;0;0;28;;0;0;;0;0;5;1.003;0;
2   Feb.;;0;0;67;0;0;;0;0;;0;;0;88;56;;0;;1;1;13;;0;;;0;0;0;;1;0;;631;0;0;2;1;0;0;0;15;;0;0;;0;0;5;881;0;
3   Feb.;;0;0;39;0;0;;0;0;;0;;0;60;35;;0;;0;1;20;;0;;;0;0;0;;1;0;;479;0;0;0;0;0;0;0;5;;0;0;;0;0;5;645;0;
4   Feb.;;0;0;2;0;0;;0;0;;0;;0;1;2;;0;;0;4;2;;0;;;0;0;0;;0;0;;10;0;0;0;0;0;0;0;0;;0;0;;0;0;0;21;0;
5   Feb.;;0;0;111;0;0;;0;0;;0;;0;77;13;;0;;1;0;13;;0;;;0;1;0;;0;0;;627;0;0;0;0;0;0;0;10;;0;0;;0;0;1;854;1;
6   Feb.;;0;0;43;0;0;;0;0;;0;;0;47;32;;0;;0;0;15;;0;;;0;0;0;;1;0;;342;0;0;1;1;0;0;0;10;;0;0;;0;0;7;499;0;
7   Feb.;;0;0;38;0;0;;0;0;;0;;1;40;36;;1;;1;1;17;;0;;;0;1;0;;0;0;;442;0;0;4;0;0;0;0;10;;0;0;;0;0;6;598;0;
8   Feb.;;0;0;14;0;0;;0;0;;0;;0;18;7;;0;;0;0;5;;0;;;0;0;0;;1;0;;161;0;0;1;1;0;0;0;9;;0;0;;0;0;2;219;0;
9   Feb.;;0;0;26;0;0;;0;0;;0;;0;40;27;;0;;0;1;19;;0;;;0;0;0;;1;0;;329;0;0;4;1;0;0;0;8;;0;0;;0;0;1;457;0;
10 Feb.;;0;0;12;0;0;;0;0;;0;;0;16;26;;0;;0;1;5;;0;;;0;0;0;;0;0;;25;0;0;1;0;0;0;0;2;;0;0;;0;0;1;89;0;
11 Feb.;;0;0;4;0;0;;0;0;;0;;0;2;8;;0;;0;0;2;;0;;;0;0;0;;0;0;;3;0;0;0;0;0;0;0;2;;0;0;;0;0;0;21;0;
12 Feb.;;0;0;104;0;0;;0;0;;0;;0;32;34;;0;;0;0;27;;0;;;0;1;0;;0;0;;292;0;0;1;1;1;0;0;7;;0;0;;1;0;2;503;0;
13 Feb.;;0;0;40;0;0;;0;0;;0;;0;34;19;;0;;0;14;8;;0;;;0;0;0;;1;0;;114;0;0;2;0;0;0;0;9;;0;0;;0;0;5;246;0;
14 Feb.;;0;0;69;0;0;;0;0;;0;;0;17;34;;0;;0;4;25;;0;;;0;1;0;;2;0;;107;0;0;0;1;0;0;0;10;;0;0;;1;0;8;279;0;
15 Feb.;;0;0;104;0;0;;0;0;;0;;0;58;82;;0;;1;1;44;;0;;;0;2;0;;1;0;;375;0;0;6;2;0;0;0;21;;0;0;;0;0;2;699;0;
16 Feb.;;0;0;17;0;0;;0;0;;0;;0;20;14;;0;;0;1;17;;0;;;0;0;0;;3;0;;144;0;0;7;1;0;0;0;11;;0;0;;0;0;4;239;0;
17 Feb.;;0;0;5;0;0;;0;0;;0;;0;4;27;;0;;0;1;1;;0;;;0;0;0;;0;0;;10;0;0;0;0;0;0;0;1;;0;0;;0;0;0;49;0;
