;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.016;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
30 Ene.;;0;0;28;0;0;;0;0;;0;;0;20;2;;0;;0;1;3;;0;;;0;1;0;;0;0;;116;0;0;1;0;0;0;0;0;;0;0;;0;0;1;173;0;;
31 Ene.;;0;0;7;0;0;;0;0;;0;;0;23;4;;1;;0;1;0;;0;;;0;1;0;;1;0;;31;0;0;1;0;0;0;0;1;;0;0;;0;0;4;75;0;;
1    Feb.;;0;0;0;0;0;;0;0;;0;;0;2;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;1;;0;1;;0;0;3;9;0;;
2   Feb.;;0;0;2;0;0;;0;0;;0;;0;2;5;;0;;0;1;0;;0;;;0;0;0;;1;0;;5;0;0;1;0;0;0;0;0;;0;0;;0;0;2;19;0;;
3   Feb.;;0;0;1;0;0;;0;0;;0;;0;1;0;;0;;0;2;0;;0;;;0;1;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6;0;;
4   Feb.;;0;0;7;0;0;;0;1;;0;;0;12;1;;0;;0;1;1;;0;;;0;0;0;;0;0;;204;0;0;0;0;0;0;0;1;;0;0;;0;0;0;228;0;;
5   Feb.;;0;0;40;0;0;;0;0;;0;;0;58;20;;0;;0;2;6;;0;;;0;0;0;;4;0;;650;0;0;3;0;0;0;0;4;;0;0;;0;0;1;788;0;;
6   Feb.;;0;0;22;0;0;;0;0;;0;;0;29;23;;0;;1;8;5;;0;;;0;0;0;;1;0;;194;0;0;1;0;2;0;0;1;;0;0;;0;0;5;292;0;;
7   Feb.;;0;0;10;0;0;;0;0;;0;;0;11;5;;0;;1;14;2;;0;;;0;0;0;;1;0;;71;0;0;1;0;1;0;0;4;;0;0;;0;0;2;123;0;;
8   Feb.;;0;0;26;0;0;;0;0;;0;;0;19;11;;0;;0;1;4;;0;;;0;1;0;;0;0;;249;0;0;1;0;0;0;0;0;;0;0;;0;0;3;315;0;;
9   Feb.;;0;0;6;0;0;;0;0;;0;;0;3;2;;0;;0;1;0;;0;;;0;0;0;;1;0;;40;0;0;0;0;0;0;0;0;;0;0;;0;0;3;56;0;;
10 Feb.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;1;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
