DONOSTIA;
2020;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae;TOTAL;Alternaria;
30 Dic.;;0;0;1;0;0;;0;0;;0;;0;12;4;;0;;0;1;0;;0;;;0;1;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;19;0;
31 Dic.;;0;0;1;0;0;;0;0;;0;;0;8;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;11;0;
1   Ene.;;0;0;0;0;0;;0;0;;0;;0;11;2;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;14;0;
2   Ene.;;0;0;1;0;0;;0;0;;0;;0;40;1;;0;;0;0;0;;0;;;0;2;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;45;0;
3   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;
4   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
5   Ene.;;0;0;0;0;0;;0;0;;0;;0;7;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;8;0;
6   Ene.;;0;0;2;0;0;;0;0;;0;;0;10;1;;0;;0;0;0;;0;;;0;0;0;;2;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;16;0;
7   Ene.;;0;0;4;0;0;;0;0;;0;;0;18;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;23;0;
8   Ene.;;0;0;1;0;0;;0;0;;0;;0;63;21;;0;;0;0;0;;0;;;0;0;1;;0;0;;0;0;0;0;1;0;0;0;0;;0;0;;0;0;1;88;1;
9   Ene.;;0;0;4;0;0;;0;0;;0;;0;37;4;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;47;0;
10 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;
11 Ene.;;0;0;1;0;0;;0;0;;0;;0;4;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6;0;
12 Ene.;;0;0;0;0;0;;0;0;;0;;0;9;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;10;0;
13 Ene.;;0;0;16;0;0;;0;0;;0;;0;105;16;;0;;0;0;1;;0;;;0;1;0;;2;0;;1;0;0;0;0;0;0;0;1;;0;0;;0;0;0;143;1;
14 Ene.;;0;0;12;0;0;;0;0;;0;;0;52;14;;0;;0;0;1;;0;;;0;0;0;;0;0;;2;0;0;1;0;0;0;0;0;;0;0;;0;0;0;82;1;
15 Ene.;;0;0;9;0;0;;0;0;;0;;0;20;16;;0;;0;0;3;;0;;;0;0;0;;1;0;;7;0;0;0;0;0;0;0;0;;0;0;;0;0;1;57;0;
16 Ene.;;0;0;23;0;0;;0;0;;0;;0;63;25;;0;;0;0;4;;0;;;0;0;0;;1;0;;23;0;0;0;0;0;0;0;0;;0;0;;0;0;0;139;1;
17 Ene.;;0;0;0;0;0;;0;0;;0;;0;4;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;0;8;0;
18 Ene.;;0;0;2;0;0;;0;0;;0;;0;10;0;;0;;0;0;0;;0;;;0;0;0;;4;0;;12;0;0;2;0;0;0;0;0;;0;0;;0;0;0;30;0;
19 Ene.;;0;0;10;0;0;;0;0;;0;;0;19;14;;0;;0;0;1;;0;;;0;0;0;;0;0;;9;0;0;0;0;0;0;0;0;;0;0;;0;0;1;54;0;
20 Ene.;;0;0;2;0;0;;0;0;;0;;0;1;2;;0;;0;0;0;;0;;;0;0;0;;1;0;;4;0;0;0;0;0;0;0;0;;0;0;;0;0;0;10;0;
21 Ene.;;0;0;8;0;0;;0;0;;0;;0;11;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;9;0;0;0;0;0;0;0;2;;0;0;;0;0;0;31;0;
22 Ene.;;0;0;2;0;0;;0;0;;0;;0;12;2;;0;;0;0;0;;0;;;0;0;0;;1;0;;1;0;0;0;0;1;0;0;0;;0;0;;0;0;0;19;0;
23 Ene.;;0;0;2;0;0;;0;0;;0;;0;1;4;;0;;0;0;1;;0;;;0;0;0;;0;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;0;10;0;
24 Ene.;;0;0;14;0;0;;0;0;;0;;0;8;3;;0;;0;0;0;;0;;;0;0;0;;0;0;;8;0;0;1;0;0;0;0;0;;0;0;;0;0;1;35;1;
25 Ene.;;0;0;19;0;0;;0;0;;0;;0;35;11;;0;;0;0;1;;0;;;0;0;0;;1;0;;11;0;0;0;0;0;0;0;0;;0;0;;0;0;2;80;1;
26 Ene.;;0;0;19;0;0;;0;0;;0;;0;25;17;;0;;0;1;2;;0;;;0;0;0;;1;0;;17;0;0;0;0;0;0;0;2;;0;0;;0;0;0;84;0;
27 Ene.;;0;0;21;0;0;;0;0;;0;;0;32;4;;0;;0;0;1;;0;;;0;0;0;;1;0;;11;1;0;1;0;0;0;0;2;;0;0;;0;0;0;74;0;
28 Ene.;;0;0;16;0;0;;0;0;;0;;0;11;1;;0;;0;0;2;;0;;;0;0;0;;0;0;;20;0;0;0;0;0;0;0;0;;0;0;;0;0;0;50;0;
29 Ene.;;0;0;76;0;0;;0;0;;0;;0;75;34;;0;;0;0;5;;0;;;0;0;0;;0;0;;35;0;0;0;0;0;0;0;2;;0;0;;0;0;3;230;0;
30 Ene.;;0;0;57;0;0;;0;0;;0;;0;74;16;;0;;0;0;2;;0;;;0;0;0;;1;0;;31;0;0;1;0;0;0;0;6;;0;0;;0;0;1;189;0;
31 Ene.;;0;0;131;0;0;;0;0;;0;;0;130;33;;0;;0;0;10;;0;;;0;0;0;;2;0;;124;0;0;0;0;0;0;0;22;;0;0;;0;0;1;453;1;
1    Feb.;;0;0;174;0;0;;0;0;;0;;0;106;40;;0;;0;0;20;;0;;;0;0;0;;1;0;;136;0;0;4;2;0;0;0;47;;0;0;;4;0;1;535;1;
2   Feb.;;0;0;173;0;0;;0;0;;0;;0;166;36;;0;;0;0;37;;0;;;0;0;0;;2;0;;53;0;0;2;1;2;0;0;15;;0;0;;1;0;1;489;0;
3   Feb.;;0;0;31;0;0;;0;0;;0;;1;20;8;;0;;0;0;2;;0;;;0;0;0;;1;0;;9;0;0;0;0;0;0;0;8;;0;0;;0;0;0;80;1;
4   Feb.;;0;0;2;0;0;;0;0;;0;;0;2;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;1;0;0;0;0;0;0;0;2;;0;0;;0;0;0;9;0;
5   Feb.;;0;0;121;0;0;;0;0;;0;;0;46;11;;0;;0;0;6;;0;;;0;2;0;;2;0;;8;0;0;0;3;0;0;0;2;;0;0;;0;0;0;201;2;
6   Feb.;;0;0;121;0;0;;0;0;;0;;0;80;53;;0;;0;1;24;;0;;;0;0;1;;4;0;;22;0;0;2;1;2;0;0;8;;0;0;;1;0;2;322;2;
7   Feb.;;0;0;88;0;0;;0;0;;0;;0;48;29;;0;;0;0;35;;0;;;0;0;0;;2;0;;67;0;0;4;2;1;0;0;8;;0;0;;1;0;4;289;2;
8   Feb.;;0;0;48;0;0;;0;0;;0;;0;28;17;;0;;0;0;13;;0;;;0;0;0;;3;0;;47;0;0;2;0;0;0;0;1;;0;0;;3;0;0;162;0;
9   Feb.;;0;0;214;0;0;;0;0;;0;;0;97;33;;0;;0;0;35;;0;;;0;0;1;;1;0;;173;0;0;5;1;1;0;0;55;;0;0;;0;0;4;620;0;
10 Feb.;;0;0;17;0;0;;0;0;;0;;0;7;5;;0;;0;0;4;;0;;;0;0;0;;1;0;;22;0;0;0;1;0;0;0;1;;0;0;;1;0;1;60;0;
11 Feb.;;0;0;1;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;4;0;0;0;0;0;0;0;1;;0;0;;0;0;0;7;0;
12 Feb.;;0;0;277;0;0;;0;0;;0;;0;38;37;;0;;0;0;38;;0;;;0;0;0;;2;0;;49;0;0;1;1;2;0;1;11;;0;0;;5;0;2;464;0;
13 Feb.;;0;0;88;0;0;;0;0;;0;;0;31;10;;0;;0;0;14;;0;;;0;0;0;;0;0;;125;0;0;1;0;0;0;1;10;;0;0;;4;0;1;285;0;
14 Feb.;;0;0;55;0;0;;0;0;;0;;0;11;8;;0;;0;0;11;;0;;;0;0;0;;1;0;;5;0;5;1;0;0;0;0;10;;0;0;;1;0;1;109;0;
15 Feb.;;0;0;482;0;0;;0;0;;0;;0;90;86;;0;;0;0;74;;0;;;0;0;0;;14;0;;55;0;0;4;1;7;0;1;38;;0;0;;1;0;7;860;0;
16 Feb.;;0;0;236;0;0;;1;0;;0;;0;32;45;;0;;0;0;59;;0;;;0;1;0;;3;0;;38;0;0;6;0;4;0;1;37;;0;0;;4;0;10;477;1;
17 Feb.;;0;0;2;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;1;0;0;5;0;
18 Feb.;;0;0;8;0;0;;0;0;;0;;0;2;1;;0;;0;0;4;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;15;0;
19 Feb.;;0;0;33;0;0;;0;0;;0;;0;6;8;;0;;0;0;25;;0;;;0;0;0;;1;0;;4;0;0;0;0;1;0;0;2;;0;0;;2;0;0;82;0;
20 Feb.;;0;0;8;0;0;;0;0;;0;;0;1;2;;0;;0;0;8;;0;;;0;0;0;;1;0;;2;0;4;0;1;1;0;0;0;;0;0;;0;0;0;28;0;
21 Feb.;;0;0;25;0;0;;0;0;;0;;0;0;3;;0;;0;0;4;;0;;;0;0;0;;0;0;;0;0;0;0;0;1;0;0;2;;0;0;;0;0;1;36;0;
22 Feb.;;0;0;17;0;0;;0;0;;0;;0;0;3;;0;;0;0;7;;0;;;0;0;0;;1;0;;1;0;0;1;0;1;0;0;2;;0;0;;2;0;0;35;0;
23 Feb.;;0;0;14;0;0;;0;0;;0;;0;2;17;;0;;0;0;8;;0;;;0;0;0;;0;0;;1;1;1;0;0;2;0;1;1;;0;0;;0;0;1;49;0;
24 Feb.;;0;0;30;0;0;;0;0;;0;;0;4;22;;0;;0;0;22;;0;;;0;0;0;;2;0;;2;0;1;0;2;1;0;0;7;;0;0;;2;0;1;96;0;
25 Feb.;;0;0;4;1;0;;0;0;;0;;0;0;1;;0;;0;0;2;;0;;;0;0;0;;1;0;;0;0;0;0;0;1;0;0;0;;0;0;;0;0;1;11;0;
26 Feb.;;0;0;41;0;0;;0;0;;0;;0;5;13;;0;;0;0;6;;0;;;0;0;0;;4;0;;17;0;0;0;1;1;0;0;1;;0;0;;2;0;1;92;0;
27 Feb.;;0;0;32;0;0;;0;0;;0;;0;8;13;;0;;0;0;9;;0;;;0;0;0;;2;0;;10;0;1;1;1;0;0;0;0;;0;0;;4;0;4;85;0;
28 Feb.;;0;0;49;0;0;;0;0;;0;;0;1;25;;0;;0;0;9;;0;;;0;0;0;;12;0;;0;0;0;1;2;10;0;0;12;;0;0;;0;0;4;125;0;
