BILBO;
2023;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae;TOTAL;Alternaria;
1   Ene.;;0;0;1;0;0;;0;0;;2;;0;12;14;;0;;0;1;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;32;0;
2   Ene.;;0;0;0;0;0;;0;0;;0;;1;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;3;0;
3   Ene.;;0;0;0;0;0;;0;0;;0;;0;4;1;;0;;0;1;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;1;0;0;0;;0;0;;0;0;2;10;1;
4   Ene.;;0;0;0;0;0;;0;0;;1;;0;4;1;;0;;0;1;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2;9;1;
5   Ene.;;0;0;0;0;0;;0;0;;0;;0;5;1;;0;;0;1;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;4;11;0;
6   Ene.;;0;0;1;0;0;;0;0;;1;;0;37;4;;0;;1;8;1;;0;;;0;1;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2;56;1;
7   Ene.;;0;0;0;0;0;;0;0;;1;;0;2;2;;0;;0;1;0;;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;1;8;0;
8   Ene.;;0;0;0;0;0;;0;0;;0;;0;4;0;;0;;0;1;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;6;0;
9   Ene.;;0;0;0;0;0;;0;0;;0;;0;8;1;;0;;0;1;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;12;0;
10 Ene.;;0;0;1;0;0;;0;0;;0;;0;8;2;;0;;0;2;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;13;0;
