VITORIA-GASTEIZ;
2025;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae;TOTAL;Alternaria;
1   Ene.;;0;0;0;0;0;;0;0;;1;;0;0;4;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5;0;
2   Ene.;;0;0;0;0;0;;0;0;;0;;0;3;0;;0;;0;0;0;;0;;;0;0;0;;2;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;6;1;
3   Ene.;;0;0;0;0;0;;0;0;;1;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4;0;
4   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;9;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;1;0;0;0;;0;0;;0;0;0;13;1;
5   Ene.;;0;0;0;0;0;;0;0;;0;;0;3;24;;0;;0;0;0;;0;;;0;1;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2;31;2;
6   Ene.;;0;0;0;0;0;;0;0;;0;;0;3;7;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;11;0;
7   Ene.;;0;0;0;0;0;;0;0;;0;;0;5;7;;0;;0;0;0;;0;;;0;0;0;;2;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;14;0;
8   Ene.;;0;0;0;0;0;;0;0;;0;;0;9;77;;0;;0;0;1;;0;;;0;1;0;;3;0;;0;0;0;1;0;1;0;0;0;;0;0;;0;0;1;94;1;
9   Ene.;;0;0;0;0;0;;0;0;;0;;0;13;47;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;63;0;
10 Ene.;;0;0;0;0;0;;0;0;;0;;0;8;191;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;200;0;
