Fecha;Ciudad;Año;Platanus;Corylus;Cupress/Taxaceae;Alnus;Ulmus;Populus;Betula;Quercus;Olea;Poaceae;Urticaceae;Plantago;Castanea;Alternaria;Pinus;Fraxinus;Salix;Ligustrum;Chenopo/Amarant
3   Feb.;Bilbao;2014;0.0;6.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;13.0;1.0;0.0;0.0;0.0
4   Feb.;Bilbao;2014;0.0;5.0;14.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;1.0;1.0;0.0;0.0
5   Feb.;Bilbao;2014;0.0;6.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;19.0;0.0;1.0;0.0;0.0
6   Feb.;Bilbao;2014;0.0;11.0;24.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;26.0;0.0;0.0;0.0;0.0
7   Feb.;Bilbao;2014;0.0;7.0;26.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;59.0;2.0;0.0;0.0;0.0
8   Feb.;Bilbao;2014;0.0;10.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0
9   Feb.;Bilbao;2014;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.0;0.0;1.0;0.0;0.0
10 Feb.;Bilbao;2014;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;0.0;0.0;0.0;0.0
11 Feb.;Bilbao;2014;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;15.0;0.0;1.0;0.0;0.0
12 Feb.;Bilbao;2014;0.0;7.0;4.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;77.0;1.0;0.0;0.0;0.0
13 Feb.;Bilbao;2014;0.0;2.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0;0.0;0.0;0.0;0.0
14 Feb.;Bilbao;2014;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0
15 Feb.;Bilbao;2014;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0
16 Feb.;Bilbao;2014;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0
17 Feb.;Bilbao;2014;0.0;13.0;19.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;101.0;1.0;4.0;0.0;0.0
18 Feb.;Bilbao;2014;0.0;1.0;5.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;1.0;4.0;0.0;0.0
19 Feb.;Bilbao;2014;0.0;3.0;1.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;31.0;0.0;7.0;0.0;0.0
20 Feb.;Bilbao;2014;0.0;14.0;5.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;271.0;2.0;5.0;0.0;0.0
21 Feb.;Bilbao;2014;0.0;13.0;12.0;10.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;119.0;1.0;8.0;0.0;0.0
22 Feb.;Bilbao;2014;0.0;9.0;8.0;13.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;160.0;4.0;10.0;0.0;0.0
23 Feb.;Bilbao;2014;0.0;26.0;47.0;28.0;1.0;4.0;0.0;0.0;0.0;1.0;4.0;1.0;0.0;0.0;331.0;4.0;11.0;0.0;0.0
24 Feb.;Bilbao;2014;0.0;11.0;28.0;11.0;1.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;238.0;8.0;10.0;0.0;0.0
25 Feb.;Bilbao;2014;0.0;6.0;4.0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;61.0;5.0;1.0;0.0;0.0
26 Feb.;Bilbao;2014;0.0;3.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;20.0;1.0;1.0;0.0;0.0
27 Feb.;Bilbao;2014;0.0;7.0;2.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;39.0;4.0;1.0;0.0;0.0
28 Feb.;Bilbao;2014;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
1 Mar.;Bilbao;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
2 Mar.;Bilbao;2014;0.0;2.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;40.0;3.0;1.0;0.0;0.0
3 Mar.;Bilbao;2014;0.0;19.0;2.0;16.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;79.0;5.0;10.0;0.0;0.0
4 Mar.;Bilbao;2014;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
5 Mar.;Bilbao;2014;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
6 Mar.;Bilbao;2014;0.0;17.0;19.0;14.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;46.0;9.0;1.0;0.0;0.0
7 Mar.;Bilbao;2014;0.0;11.0;13.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;44.0;10.0;1.0;0.0;0.0
8 Mar.;Bilbao;2014;0.0;21.0;91.0;7.0;1.0;3.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;97.0;30.0;4.0;0.0;0.0
9 Mar.;Bilbao;2014;0.0;11.0;26.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;29.0;11.0;2.0;0.0;0.0
10 Mar.;Bilbao;2014;0.0;10.0;44.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;19.0;4.0;6.0;0.0;0.0
11 Mar.;Bilbao;2014;0.0;2.0;14.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;21.0;8.0;1.0;0.0;0.0
